address,hotel_name,price,rank,review,review_number
"164 Tran Phu Street,Ward 5, Vung Tau 78000 Vietnam",Mermaid Seaside Hotel,,#34,Excellent,2 reviews
"98 Phan Chu Trinh, Vung Tau Vietnam",The Wind Mountain Side Hotel,,#14,Excellent,42 reviews
"02 Truong Cong Dinh Ward 2, Vung Tau 790000 Vietnam",Fusion Suites Vung Tau,,#6,Excellent,102 reviews
"1A Thuy Van Ward 8, Vung Tau 790000 Vietnam",Vung Tau Intourco Resort,,#68,Very good,52 reviews
"L36 Phan Chu Trinh, Vung Tau Vietnam",Thanh Xuan Hotel,,#45,Excellent,1 review
"03-06 Ha Long Ward 2, Vung Tau 790000 Vietnam",Mercure Vung Tau,,#2,Excellent,122 reviews
"15 Thi Sach Street Thang Tam Ward, Vung Tau Vietnam",Pullman Vung Tau,,#4,Very good,457 reviews
"10 Tran Phu Ward 1 Vung Tau, Ba Ria, Vung Tau Vietnam",RedDoorz Plus near Bai Truoc,,#50,Excellent,1 review
"B10, 84 Phan Chu Trinh, Vung Tau Vietnam",The Wind Boutique Resort,,#9,Excellent,107 reviews
"09 Thong Nhat Street, Ward 1, Vung Tau Vietnam",Muong Thanh Vung Tau Hotel,,#7,Excellent,168 reviews
"I44 Phan Huy Ich Street Khu Á Chau, Ward 2, Vung Tau 78000 Vietnam",Bao Khoi 1 Hotel,,#44,Excellent,1 review
"159 Thuy Van Street, Vung Tau 790000 Vietnam",The Imperial Hotel & Resort Vung Tau,,#3,Excellent,895 reviews
"Phuoc Thuan Commune Xuyen Moc District, Vung Tau Vietnam",Vietsovpetro Resort,,#43,Average,60 reviews
"263 Le Hong Phong Street, Thang Tam Ward, Vung Tau 790000 Vietnam",Malibu Hotel,,#11,Very good,128 reviews
"69 THUY VAN, PHU_NG 2, Vung Tau 78000 Vietnam",Premier Pearl Hotel Vung Tau,,#21,Excellent,9 reviews
"01 Thi Sach, P. Th_ng Tam, Vung Tau 0254 Vietnam",The Cap Hotel,,#42,Excellent,1 review
"9 - 11 Hoang Dieu St., Ward 1, Vung Tau Vietnam",Petro Hotel,,#20,Very good,83 reviews
"147C Thuy Van Thang Tam Ward, Vung Tau 790000 Vietnam",Green Hotel,,#18,Very good,135 reviews
"The Grand Ho Tram Strip Phuoc Thuan - Xuyen Moc District, Vung Tau 790000 Vietnam",Holiday Inn Resort Ho Tram Beach,,,,
"2 Le Hong Phong Son Thinh 2 Building, Vung Tau Vietnam",Vung Tau Seaview Homestay,,#64,Excellent,1 review
"Khu Pho Hai Phong 1, Long Hai Town Long Dien District, Ba Ria-Vung Tau, Vung Tau 44154 Vietnam",Palace Resort Long Hai Beach,,#59,Very good,15 reviews
"Level 12, OSC Land Residence, 110 Vo Thi Sau, Vung Tau Vietnam",Hai Phuong Homestay,,#47,Excellent,1 review
"115 Tran Phu Ward 5, Vung Tau 790000 Vietnam",Marina Bay Vung Tau Resort & Spa,,#5,Excellent,74 reviews
"165C Thuy Van, Tam Thang Ward, Vung Tau Vietnam",Lotus Vung Tau Resort,,#40,Very good,12 reviews
"108/6 Tran Phu Ward 05, Vung Tau Vietnam",Sea Mountain Hotel,,#83,Average,2 reviews
